yf,xf1,xf2,xf3
1562,1.69166666666667,37.9301075268817,204.021505376344
1395,0.0610119047619034,51.1919642857143,181.846726190476
1279,4.35067204301076,50.6075268817204,219.407258064516
1347,5.44263888888889,56.0347222222222,199.316666666667
1363,14.064247311828,44.7809139784946,244.112903225806
1691,21.3545833333333,37.5791666666667,305.216666666667
1852,22.2663978494624,49.4153225806452,272.467741935484
1983,22.6150537634409,42.755376344086,222.255376344086
1650,18.4580555555556,53.5,225.045833333333
1385,8.88145161290323,54.7701612903226,233.721774193548
1347,6.09666666666667,42.0763888888889,217.447222222222
1524,0.197043010752687,48.1760752688172,224.55376344086
